08/16-03:17:34; 139:1:1; (spp_sdf) SDF Combination Alert; 2; PROTO:254; 205.185.208.170; ; 10.14.141.30; 
08/16-03:18:40; 139:1:1; (spp_sdf) SDF Combination Alert; 2; PROTO:254; 205.185.208.170; ; 10.14.141.30; 
08/16-03:20:22; 139:1:1; (spp_sdf) SDF Combination Alert; 2; PROTO:254; 178.79.213.102; ; 10.14.141.30; 
08/16-03:22:25; 139:1:1; (spp_sdf) SDF Combination Alert; 2; PROTO:254; 178.79.213.107; ; 10.14.141.30; 
08/16-03:22:43; 139:1:1; (spp_sdf) SDF Combination Alert; 2; PROTO:254; 178.79.213.107; ; 10.14.141.30; 
08/16-03:22:45; 139:1:1; (spp_sdf) SDF Combination Alert; 2; PROTO:254; 178.79.213.107; ; 10.14.141.30; 
08/16-03:23:08; 129:5:1; Bad segment, adjusted size <= 0; 2; TCP; 10.14.141.30; 50067; 68.232.34.19; 80
08/16-03:25:24; 139:1:1; (spp_sdf) SDF Combination Alert; 2; PROTO:254; 205.185.208.170; ; 10.14.141.30; 
08/16-03:26:02; 129:5:1; Bad segment, adjusted size <= 0; 2; TCP; 10.14.141.30; 49992; 8.248.3.253; 80
08/16-03:26:02; 129:5:1; Bad segment, adjusted size <= 0; 2; TCP; 10.14.141.30; 49991; 8.248.3.253; 80
08/16-03:26:02; 129:5:1; Bad segment, adjusted size <= 0; 2; TCP; 10.14.141.30; 49993; 8.248.3.253; 80
08/16-03:26:02; 129:5:1; Bad segment, adjusted size <= 0; 2; TCP; 10.14.141.30; 49994; 8.248.3.253; 80
08/16-03:26:33; 139:1:1; (spp_sdf) SDF Combination Alert; 2; PROTO:254; 205.185.208.170; ; 10.14.141.30; 
08/16-03:26:35; 139:1:1; (spp_sdf) SDF Combination Alert; 2; PROTO:254; 205.185.208.170; ; 10.14.141.30; 
08/16-03:26:38; 139:1:1; (spp_sdf) SDF Combination Alert; 2; PROTO:254; 205.185.208.170; ; 10.14.141.30; 
08/16-03:27:17; 139:1:1; (spp_sdf) SDF Combination Alert; 2; PROTO:254; 8.248.3.253; ; 10.14.141.30; 
08/16-03:27:47; 139:1:1; (spp_sdf) SDF Combination Alert; 2; PROTO:254; 205.185.208.170; ; 10.14.141.30; 
08/16-03:27:53; 139:1:1; (spp_sdf) SDF Combination Alert; 2; PROTO:254; 205.185.208.170; ; 10.14.141.30; 
08/16-03:28:03; 139:1:1; (spp_sdf) SDF Combination Alert; 2; PROTO:254; 205.185.208.170; ; 10.14.141.30; 
08/16-03:28:06; 139:1:1; (spp_sdf) SDF Combination Alert; 2; PROTO:254; 8.251.59.251; ; 10.14.141.30; 
08/16-03:28:10; 139:1:1; (spp_sdf) SDF Combination Alert; 2; PROTO:254; 8.251.59.251; ; 10.14.141.30; 
08/16-03:28:14; 129:5:1; Bad segment, adjusted size <= 0; 2; TCP; 10.14.141.30; 50103; 68.232.34.19; 80
08/16-03:28:47; 139:1:1; (spp_sdf) SDF Combination Alert; 2; PROTO:254; 8.251.59.251; ; 10.14.141.30; 
08/16-03:29:45; 139:1:1; (spp_sdf) SDF Combination Alert; 2; PROTO:254; 8.253.98.114; ; 10.14.141.30; 
08/16-03:29:58; 139:1:1; (spp_sdf) SDF Combination Alert; 2; PROTO:254; 205.185.208.170; ; 10.14.141.30; 
08/16-03:41:51; 137:1:2; (spp_ssl) Invalid Client HELLO after Server HELLO Detected; 2; TCP; 10.14.141.30; 46917; 173.194.221.188; 443
08/16-03:28:51; 139:1:1; (spp_sdf) SDF Combination Alert; 2; PROTO:254; 205.185.208.170; ; 10.14.141.30; 
08/16-08:57:07; 137:1:2; (spp_ssl) Invalid Client HELLO after Server HELLO Detected; 2; TCP; 10.14.141.30; 57274; 185.129.96.69; 443
08/16-14:11:57; 120:8:2; (http_inspect) INVALID CONTENT-LENGTH OR CHUNK SIZE; 3; TCP; 10.14.141.30; 51876; 216.34.181.97; 80
08/16-14:16:55; 139:1:1; (spp_sdf) SDF Combination Alert; 2; PROTO:254; 69.165.169.197; ; 10.14.141.30; 
08/16-14:18:01; 129:14:1; TCP Timestamp is missing; 2; TCP; 31.23.243.173; 45778; 10.14.141.30; 40874
08/16-14:26:50; 129:13:1; 4-way handshake detected; 2; TCP; 24.43.69.30; 49001; 10.14.141.30; 44406
08/16-14:32:56; 129:14:1; TCP Timestamp is missing; 2; TCP; 94.136.204.34; 37341; 10.14.141.30; 39631
08/16-14:35:20; 139:1:1; (spp_sdf) SDF Combination Alert; 2; PROTO:254; 91.228.177.93; ; 10.14.141.30; 
08/10-23:45:52; 1:30918:1; BLACKLIST User-Agent known malicious user agent - User-Agent User-Agent Mozilla; 1; TCP; 10.14.141.30; 53369; 136.166.4.110; 80
08/16-06:51:57; 3:11672:8; BROWSER-OTHER Mozilla Network Security Services SSLv2 stack overflow attempt; 1; TCP; 10.14.141.30; 52982; 31.13.81.52; 443
